dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-03-31 02:44:06.0,2019-03-31 02:47:05.0,179,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-01 05:13:05.0,2019-04-01 05:17:35.0,270,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-01 05:37:05.0,2019-04-01 05:40:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-05 11:29:05.0,2019-04-05 11:33:05.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-05 11:49:05.0,2019-04-05 11:52:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-09 14:41:05.0,2019-04-09 14:54:05.0,780,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-19 22:24:05.0,2019-04-19 22:29:05.0,300,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-19 22:29:05.0,2019-04-19 22:39:05.0,600,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-25 14:07:05.0,2019-04-25 14:09:35.0,150,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2019-04-26 12:23:05.0,2019-04-26 12:28:06.0,301,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
